pearson;similarity_type;matching;word_agg;sentence_agg;direction;power;index_weight
0.40988872545265786;wupalmer;one_to_many;avg;max;single;power7;linear
0.40988872545265786;wupalmer;one_to_many;avg;avg;single;power7;linear
0.40988872545265786;wupalmer;one_to_many;avg;min;single;power7;linear
0.4081951405167583;wupalmer;one_to_many;avg;max;single;power7;prime
0.4081951405167583;wupalmer;one_to_many;avg;avg;single;power7;prime
0.4081951405167583;wupalmer;one_to_many;avg;min;single;power7;prime
0.4074353327571666;spath;one_to_many;avg;max;symmetric;power2;prime
0.4074353327571666;spath;one_to_many;avg;avg;symmetric;power2;prime
0.4074353327571666;spath;one_to_many;avg;min;symmetric;power2;prime
0.4073336221384247;spath;one_to_many;avg;max;symmetric;power2;exponential
0.4073336221384247;spath;one_to_many;avg;avg;symmetric;power2;exponential
0.4073336221384247;spath;one_to_many;avg;min;symmetric;power2;exponential
0.40375366919167066;spath;one_to_many;avg;avg;single;power7;
0.40375366919167066;spath;one_to_many;avg;avg;symmetric;power7;
0.40375366919167066;spath;all_to_all;;avg;single;power7;
0.40375366919167066;spath;all_to_all;;avg;single;power7;linear
0.40375366919167066;spath;all_to_all;;avg;single;power7;prime
0.40375366919167066;spath;all_to_all;;avg;single;power7;exponential
0.40375366919167066;spath;all_to_all;;avg;symmetric;power7;
0.40375366919167066;spath;all_to_all;;avg;symmetric;power7;linear
0.40375366919167066;spath;all_to_all;;avg;symmetric;power7;prime
0.40375366919167066;spath;all_to_all;;avg;symmetric;power7;exponential
0.40303730013524486;spath;one_to_many;avg;max;single;power7;exponential
0.40303730013524486;spath;one_to_many;avg;avg;single;power7;exponential
0.40303730013524486;spath;one_to_many;avg;min;single;power7;exponential
0.40299580577393657;spath;one_to_many;avg;max;single;power2;linear
0.40299580577393657;spath;one_to_many;avg;avg;single;power2;linear
0.40299580577393657;spath;one_to_many;avg;min;single;power2;linear
0.401735516581967;wupalmer;one_to_many;avg;max;single;power7;exponential
0.401735516581967;wupalmer;one_to_many;avg;avg;single;power7;exponential
0.401735516581967;wupalmer;one_to_many;avg;min;single;power7;exponential
0.4014498104898272;wupalmer;one_to_many;avg;avg;single;power7;
0.4014498104898272;wupalmer;one_to_many;avg;avg;symmetric;power7;
0.4014498104898272;wupalmer;all_to_all;;avg;single;power7;
0.4014498104898272;wupalmer;all_to_all;;avg;single;power7;linear
0.4014498104898272;wupalmer;all_to_all;;avg;single;power7;prime
0.4014498104898272;wupalmer;all_to_all;;avg;single;power7;exponential
0.4014498104898272;wupalmer;all_to_all;;avg;symmetric;power7;
0.4014498104898272;wupalmer;all_to_all;;avg;symmetric;power7;linear
0.4014498104898272;wupalmer;all_to_all;;avg;symmetric;power7;prime
0.4014498104898272;wupalmer;all_to_all;;avg;symmetric;power7;exponential
0.4012461896188051;spath;one_to_many;avg;max;single;power2;prime
0.4012461896188051;spath;one_to_many;avg;avg;single;power2;prime
0.4012461896188051;spath;one_to_many;avg;min;single;power2;prime
0.3976542590010791;wupalmer;one_to_many;max;min;symmetric;power2;
0.3953855337662192;spath;one_to_many;avg;max;single;power2;exponential
0.3953855337662192;spath;one_to_many;avg;avg;single;power2;exponential
0.3953855337662192;spath;one_to_many;avg;min;single;power2;exponential
0.3937750129815885;spath;one_to_many;avg;avg;single;power2;
0.3937750129815885;spath;one_to_many;avg;avg;symmetric;power2;
0.39377501298158846;spath;all_to_all;;avg;single;power2;
0.39377501298158846;spath;all_to_all;;avg;single;power2;linear
0.39377501298158846;spath;all_to_all;;avg;single;power2;prime
0.39377501298158846;spath;all_to_all;;avg;single;power2;exponential
0.39377501298158846;spath;all_to_all;;avg;symmetric;power2;
0.39377501298158846;spath;all_to_all;;avg;symmetric;power2;linear
0.39377501298158846;spath;all_to_all;;avg;symmetric;power2;prime
0.39377501298158846;spath;all_to_all;;avg;symmetric;power2;exponential
0.39213870770259485;spath;one_to_many;max;max;single;power1;
0.39213870770259485;spath;one_to_many;max;max;symmetric;power1;
0.39213870770259485;spath;all_to_all;;max;single;power1;
0.39213870770259485;spath;all_to_all;;max;single;power1;linear
0.39213870770259485;spath;all_to_all;;max;single;power1;prime
0.39213870770259485;spath;all_to_all;;max;single;power1;exponential
0.39213870770259485;spath;all_to_all;;max;symmetric;power1;
0.39213870770259485;spath;all_to_all;;max;symmetric;power1;linear
0.39213870770259485;spath;all_to_all;;max;symmetric;power1;prime
0.39213870770259485;spath;all_to_all;;max;symmetric;power1;exponential
0.3744676697169289;wupalmer;one_to_many;max;min;symmetric;power1;
0.37091891503959884;wupalmer;one_to_many;max;max;single;power2;
0.37091891503959884;wupalmer;one_to_many;max;max;symmetric;power2;
0.37091891503959884;wupalmer;all_to_all;;max;single;power2;
0.37091891503959884;wupalmer;all_to_all;;max;single;power2;linear
0.37091891503959884;wupalmer;all_to_all;;max;single;power2;prime
0.37091891503959884;wupalmer;all_to_all;;max;single;power2;exponential
0.37091891503959884;wupalmer;all_to_all;;max;symmetric;power2;
0.37091891503959884;wupalmer;all_to_all;;max;symmetric;power2;linear
0.37091891503959884;wupalmer;all_to_all;;max;symmetric;power2;prime
0.37091891503959884;wupalmer;all_to_all;;max;symmetric;power2;exponential
0.36866602464821996;spath;one_to_many;max;min;symmetric;power1;
0.36391565833136374;spath;one_to_many;avg;max;symmetric;power1;linear
0.36391565833136374;spath;one_to_many;avg;avg;symmetric;power1;linear
0.36391565833136374;spath;one_to_many;avg;min;symmetric;power1;linear
0.363403325261051;spath;one_to_many;avg;max;symmetric;power1;exponential
0.363403325261051;spath;one_to_many;avg;avg;symmetric;power1;exponential
0.363403325261051;spath;one_to_many;avg;min;symmetric;power1;exponential
0.36107506108171183;spath;one_to_many;avg;max;symmetric;power1;prime
0.36107506108171183;spath;one_to_many;avg;avg;symmetric;power1;prime
0.36107506108171183;spath;one_to_many;avg;min;symmetric;power1;prime
0.3582829145384562;wupalmer;one_to_many;max;min;symmetric;power7;
0.35809378300747885;spath;one_to_many;avg;max;single;power1;linear
0.35809378300747885;spath;one_to_many;avg;avg;single;power1;linear
0.35809378300747885;spath;one_to_many;avg;min;single;power1;linear
0.35753416971580165;wupalmer;one_to_many;avg;max;symmetric;power2;linear
0.35753416971580165;wupalmer;one_to_many;avg;avg;symmetric;power2;linear
0.35753416971580165;wupalmer;one_to_many;avg;min;symmetric;power2;linear
0.35745771544671545;wupalmer;one_to_many;avg;max;symmetric;power2;exponential
0.35745771544671545;wupalmer;one_to_many;avg;avg;symmetric;power2;exponential
0.35745771544671545;wupalmer;one_to_many;avg;min;symmetric;power2;exponential
0.3572180788771758;spath;one_to_many;max;min;symmetric;power2;
0.3560281814777799;spath;one_to_many;avg;max;single;power1;prime
0.3560281814777799;spath;one_to_many;avg;avg;single;power1;prime
0.3560281814777799;spath;one_to_many;avg;min;single;power1;prime
0.3542969971678816;wupalmer;one_to_many;avg;max;symmetric;power2;prime
0.3542969971678816;wupalmer;one_to_many;avg;avg;symmetric;power2;prime
0.3542969971678816;wupalmer;one_to_many;avg;min;symmetric;power2;prime
0.3538404382255439;spath;one_to_many;avg;max;single;power1;exponential
0.3538404382255439;spath;one_to_many;avg;avg;single;power1;exponential
0.3538404382255439;spath;one_to_many;avg;min;single;power1;exponential
0.3511199362316194;wupalmer;one_to_many;avg;max;single;power2;linear
